Date,High,Low,Open,Close,Volume,Adj Close,atr,high-open,High 5 day average,Low
1/2/2019,19,17.97999954,18.01000023,18.82999992,87148700,18.82999992,1.020000458,0.054969448,,
1/3/2019,18.68000031,16.94000053,18.42000008,17.04999924,117277600,17.04999924,1.739999771,0.014115105,,
1/4/2019,19.06999969,17.43000031,17.54999924,19,111878600,19,1.63999939,0.086609716,,
1/7/2019,20.68000031,19,19.44000053,20.56999969,107157000,20.56999969,1.680000305,0.063785995,,
1/8/2019,21.20000076,19.68000031,21.19000053,20.75,121271000,20.75,1.520000458,0.000471932,,
1/9/2019,21.44000053,20.06999969,20.88999939,20.19000053,163944100,20.19000053,1.370000839,0.026328442,19.72600021,18.20600014
1/10/2019,19.82999992,18.89999962,19.76000023,19.73999977,115629400,19.73999977,0.930000305,0.003542495,20.21400032,18.62400017
1/11/2019,20.35000038,19.19000053,19.46999931,20.27000046,85110800,20.27000046,1.159999847,0.045197797,20.44400024,19.01599998
1/14/2019,20.62000084,19.75,19.95999908,20.22999954,71350200,20.22999954,0.870000839,0.033066222,20.70000038,19.36800003
1/15/2019,20.68000031,20.26000023,20.44000053,20.37999916,62785800,20.37999916,0.420000076,0.011741671,20.68800049,19.51800003
1/16/2019,20.54000092,19.70999908,20.39999962,19.72999954,70849300,19.72999954,0.830001831,0.006862809,20.5840004,19.63400002
1/17/2019,20.51000023,19.02000046,19.48999977,20.25,85018400,20.25,1.489999771,0.052334555,20.40400047,19.56199989
1/18/2019,21.04999924,20.02000046,20.37000084,20.77000046,88131000,20.77000046,1.029998779,0.033382345,20.54000053,19.58600006
1/22/2019,20.92000008,19.70000076,20.47999954,19.76000023,78513700,19.76000023,1.219999313,0.021484402,20.68000031,19.75200005
1/23/2019,20.47999954,19.54999924,20.03000069,19.79999924,77811300,19.79999924,0.930000305,0.022466243,20.74000015,19.7420002
1/24/2019,21.01000023,20.04000092,20.05999947,20.85000038,97433400,20.85000038,0.969999313,0.047357966,20.7,19.6
1/25/2019,22.03000069,20.79000092,20.98999977,21.93000031,110239500,21.93000031,1.239999771,0.049547448,20.79399986,19.66600037
1/28/2019,21.01000023,20.02000046,20.31999969,20.18000031,135164100,20.18000031,0.989999771,0.03395672,21.09799995,20.02000046
1/29/2019,20.38999939,19.04999924,20.26000023,19.25,131202500,19.25,1.340000153,0.006416543,21.09000015,20.02000046
1/30/2019,23.12999916,21.37000084,21.48999977,23.09000015,211421200,23.09000015,1.759998322,0.076314537,20.98400002,19.89000015
1/31/2019,25.13999939,22.82999992,23.02000046,24.40999985,182575600,24.40999985,2.309999466,0.092093783,21.51399994,20.25400047
2/1/2019,24.84000015,24.06999969,24.61000061,24.51000023,105356200,24.51000023,0.770000458,0.009345776,22.33999977,20.81200027
2/4/2019,24.65999985,24.06999969,24.43000031,24.12999916,70843800,24.12999916,0.590000153,0.009414635,22.90199966,21.46800003
2/5/2019,23.86000061,22.97999954,23.42000008,23.30999947,122226000,23.30999947,0.880001068,0.018787384,23.63199959,22.27799988
2/6/2019,24.13999939,23.21999931,23.62999916,23.26000023,78684300,23.26000023,0.920000076,0.021582744,24.32599983,23.06399994
2/7/2019,23.21999931,22.31999969,22.98999977,22.67000008,86723900,22.67000008,0.899999619,0.01000433,24.52799988,23.43399963
2/8/2019,23.28000069,22.27000046,22.32999992,23.04999924,78129300,23.04999924,1.010000229,0.042543698,24.14399986,23.33199959
2/11/2019,23.28000069,22.65999985,23.04999924,22.95999908,60578700,22.95999908,0.620000839,0.009978371,23.83199997,22.97199974
2/12/2019,23.55999947,22.75,23.43000031,22.81999969,67595400,22.81999969,0.809999466,0.005548406,23.55600014,22.68999977
2/13/2019,23.23999977,22.70999908,22.97999954,22.85000038,57544200,22.85000038,0.530000687,0.011314196,23.49599991,22.64399986
2/14/2019,23.37000084,22.59000015,22.73999977,23.12999916,64441200,23.12999916,0.780000687,0.027704533,23.31599998,22.54199982
2/15/2019,24.04999924,23.20000076,23.57999992,23.68000031,78644100,23.68000031,0.849998474,0.019932117,23.34600029,22.59599991
2/19/2019,24.40999985,23.61000061,23.62999916,23.95000076,57517900,23.95000076,0.799999237,0.033008917,23.5,22.78199997
2/20/2019,24.37000084,23.89999962,24.13999939,23.95000076,57091600,23.95000076,0.470001221,0.009527815,23.72599983,22.97200012
2/21/2019,24.32999992,23.85000038,24.04000092,23.92000008,49608200,23.92000008,0.479999542,0.012063186,23.88800011,23.20200005
