0.35,0.0049
0.289,0.12
0.215,-0.03
0.34,-0.2174
0.36,-0.29
0.3473,0.2059
0.2399,0.025
0.33,0.282
0.23,0.105
0.26,-0.145
0.35,0.0847
0.305,-0.255
0.17,-0.0627
0.265,-0.195
0.135,0.1101
0.21,0.1284
0.2399,0.205
0.1776,0.0138
0.12,0.04
0.11,0.0016
0.28,-0.175
0.4279,0.4199
0.23,-0.1343
0.1876,0.1
0.2428,0.19
0.15,0.06
0.24,-0.211
0.24,-0.0489
0.17,0.1
0.1,0.03
0.185,-0.015
0.24,-0.07
0.128,-0.0317
0.18,0.04
0.11,0.03
0.17,-0.08
0.12,0.0647
0.13,-0.04
0.07,0.035
0.0898,-0.02
0.32,0.145
0.19,-0.0744
0.1,-0.03
0.1,-0.0206
0.1636,-0.045
0.28,-0.225
0.07,0.0398
0.2,-0.17
0.13,0.09
0.17,-0.025
0.1099,-0.02
0.11,-0.01
0.1477,0.1237
0.08,-0.0099
0.2474,-0.1724
0.15,0.0595
0.0956,0.03
0.1682,-0.08
0.04,0
0.12,0.0633
0.08,-0.03
0.1613,-0.0878
0.07,0.01
0.152,0
0.17,0.12
0.1,-0.06
0.095,-0.075
0.11,0.0371
0.04,-0.005
0.05,-0.04
0.1427,-0.1027
0.0767,-0.02
0.06,0
0.1,0.0807
0.07,0.04
0.06,0.035
0.13,-0.1186
0.06,-0.0164
0.11,0.005
0.1,-0.04
0.04,-0.0182
0.0634,0.06
0.09,-0.03
0.0773,0.02
0.19,-0.055
0.17,0.135
0.098,0.02
0.05,0
0.075,0.065
0.05,0.0101
0.11,-0.1
0.09,-0.0749
0.04,0.01
0.09,-0.0391
0.0481,-0.0281
0.1,-0.0801
0.11,-0.11
0.0451,-0.02
0.11,-0.11
0.08,-0.07
0.09,-0.0299
0.135,-0.1
0.045,0.0101
0.0884,-0.05
0.055,0.045
0.09,0.0199
0.07,0.01
0.035,-0.0215
0.07,-0.05
0.12,0.1132
0.12,0.0412
0.055,0.01
0.08,-0.01
0.11,-0.0405
0.09,-0.015
0.1077,0.07
0.0899,-0.0016
0.08,0.0492
0.0579,0.0001
0.1632,0.1118
0.0599,-0.0033
0.065,0.01
0.0449,0.002
0.08,0.04
0.13,-0.09
0.13,0.05
0.06,-0.02
0.0403,-0.03
0.069,0.025
0.045,0.0249
0.0596,-0.0218
0.09,-0.02
0.07,-0.06
0.1,-0.08
0.1199,-0.085
0.055,0.0001
0.06,-0.05
0.04,0.02
0.03,0.003
0.09,0.02
0.05,-0.015
0.0885,0.0723
0.065,0.03
0.065,0.0299
0.06,0.02
0.069,0.0686
0.1,0.08
0.03,0.0105
0.069,0.025
0.15,0.1211
0.07,-0.0071
0.025,-0.025
0.03,-0.01
0.04,0
0.07,0.065
0.09,0.075
0.0278,-0.0078
0.08,-0.05
0.085,-0.0525
0.06,-0.0352
0.08,0.04
0.03,-0.0259
0.03,-0.015
0.1,0.05
0.0499,0.02
0.02,0.005
0.09,0.05
0.0412,0.0078
0.0299,-0.0072
0.0489,-0.02
0.0365,0.0365
0.035,0.02
0.03,-0.01
0.04,-0.01
0.04,0.01
0.04,-0.0088
0.0581,-0.05
0.05,-0.0375
0.075,0.02
0.03,0
0.057,0.0413
0.0454,-0.0454
0.1,-0.0497
0.0799,-0.0606
0.04,0.02
0.13,0.13
0.0428,-0.033
0.0418,-0.01
0.03,0.001
0.05,-0.02
0.09,0.035
0.06,0.04
0.04,0.03
0.0265,-0.02
0.04,-0.0049
0.05,0.0311
0.049,-0.01
0.01,0
0.04,0.0009
0.0208,-0.0059
0.05,-0.01
0.07,0.05
0.045,0.0035
0.02,0.0099
0.1099,0.06
0.11,-0.1
0.035,0
0.065,-0.06
0.0377,0.005
0.04,-0.0137
0.029,-0.01
0.06,-0.0299
0.0459,-0.0375
0.1067,-0.05
0.03,-0.02
0.11,-0.09
0.0484,-0.016
0.0674,-0.03
0.07,0.02
0.045,0.02
0.08,0.07
0.0803,0.0803
0.0301,0.0251
0.0225,0.0044
0.04,0.03
0.05,0.04
0.0343,0.02
0.0315,-0.02
0.04,-0.015
0.01,-0.005
0.08,0.0491
0.08,-0.03
0.045,0.0275
0.03,0.01
0.07,-0.02
0.1,-0.085
0.095,0.0538
0.0278,-0.025
0.05,0.0104
0.02,0.0013
0.03,-0.02
0.025,0
0.09,0.0858
0.05,-0.04
0.04,-0.01
0.04,0.02
0.03,0.01
0.0681,0.045
0.0214,0.02
0.015,-0.005
0.035,-0.025
0.03,0.02
0.07,-0.055
0.02,-0.0032
0.07,0.0108
0.03,0
0.04,-0.02
0.07,-0.06
0.0929,0.069
0.04,-0.01
0.0466,0.01
0.04,-0.029
0.03,-0.01
0.0102,0.005
0.04,0.0109
0.05,0.01
0.06,0.03
0.0601,-0.06
0.03,-0.01
0.0405,0.0255
0.0447,0.0159
0.09,-0.075
0.055,0.005
0.065,-0.05
0.03,-0.025
0.1,-0.0444
0.059,0.0399
0.03,0.015
0.09,-0.0883
0.07,-0.02
0.03,0.01
0.02,0.0042
0.05,-0.04
0.08,-0.07
0.04,0.02
0.042,0
0.03,0.01
0.0574,-0.02
0.145,-0.125
0.04,0
0.0595,0.02
0.07,0.06
0.07,-0.02
0.04,0.005
0.0486,0.04
0.06,-0.0425
0.0918,0.07
0.045,-0.035
0.04,0
0.0366,-0.03
0.05,0.02
0.04,-0.0191
0.05,-0.03
0.085,-0.065
0.04,0.015
0.055,0.04
0.07,-0.05
0.17,-0.06
0.33,0.2276
0.3899,0.295
0.23,-0.15
0.07,0.025
0.0718,-0.0079
0.07,0.0389
0.06,-0.01
0.05,0.005
0.05,0.025
0.06,-0.0191
0.06,0.04
0.045,-0.034
0.07,-0.03
0.045,0.0176
0.04,0.015
0.0568,0.0228
0.0401,0.03
0.08,-0.08
0.06,-0.025
0.0381,0.02
0.071,-0.071
0.03,0.02
0.03,-0.015
0.03,0.005
0.1299,0.0735
0.1617,-0.16
0.04,-0.01
0.05,-0.03
0.0799,-0.035
0.035,0
0.09,-0.0299
0.06,-0.045
0.0514,0.005
0.039,0.019
0.094,0.055
0.075,-0.07
0.045,-0.0201
0.0476,0.01
0.105,0.095
0.08,-0.05
0.056,-0.025
0.0515,-0.05
0.07,-0.01
0.07,-0.05
0.07,-0.01
0.049,-0.01
0.056,-0.016
0.15,0.1499
0.035,0
0.08,0.05
0.03,-0.01
0.08,0.02
0.055,-0.01
0.04,-0.02
0.035,-0.015
0.1,-0.09
0.0599,0.005
0.125,0.1
0.07,-0.065
0.04,0.02
0.0506,-0.0394
0.04,-0.03
0.06,0.02
0.08,-0.04
0.037,0.01
0.035,0.001
0.06,-0.04
0.088,-0.04
0.03,-0.01
0.05,-0.02
0.0375,0.015
0.075,0.0299
0.1,0.0249
0.0678,0
0.075,0.0316
0.04,0.015
0.05,-0.035
