,Tick_Open,SPY Close Dollar,Gap Difference Dollars,SPY gap percent
0,1523.0,2.8100000000000023,-6.220000000000027,1.9299136617572346
1,1721.0,1.259999999999991,-4.029999999999973,2.2500895736295137
2,1687.0,0.75,1.3899999999999864,1.944769997070027
3,1563.0,-5.289999999999964,5.7999999999999545,1.3830343145793311
4,1620.0,1.6800000000000068,-1.5,2.029888356140396
5,1412.0,-0.44999999999998863,1.8500000000000227,1.082625101385899
6,1608.0,-0.06999999999999318,3.409999999999968,1.2313104661389622
7,1484.0,1.3500000000000227,-2.1000000000000227,1.1853448275861957
8,1885.0,1.9499999999999886,-0.6499999999999773,2.364817661031172
9,1598.0,1.1100000000000136,-0.13999999999998636,1.3186286262287104
10,1667.0,-2.8500000000000227,3.0400000000000205,2.1967235310046065
11,1368.0,1.4099999999999682,1.1200000000000045,1.0164504480406649
12,1584.0,2.109999999999957,0.8800000000000523,1.885277492291882
13,1777.0,-4.03000000000003,-6.189999999999998,2.5381723828215947
14,1515.0,-2.5200000000000387,1.1100000000000136,2.7454811919882776
15,1749.0,-2.009999999999991,4.139999999999986,1.1979904676027398
16,1647.0,0.6800000000000068,-1.670000000000016,1.3259456170130948
17,1452.0,-0.5600000000000023,-2.0600000000000023,1.0943183243446661
18,1433.0,2.240000000000009,2.0299999999999727,1.3024819183097842
19,1685.0,0.9699999999999704,-0.21999999999997044,1.3658625619809597
20,1466.0,0.0,3.490000000000009,1.1208427757701869
21,1473.0,2.339999999999975,4.830000000000041,1.0569351907934612
22,1244.0,1.0,-0.3100000000000023,1.659195435757114
23,1321.0,-9.410000000000025,-1.0699999999999932,3.9439113548092304
24,1655.0,3.990000000000009,0.2400000000000091,1.3750131454411507
