,open,high,low,close,volume,date,hour
0,164.88,164.88,164.88,164.88,501.0,2021-03-15 04:00:00,04:00:00
1,164.9,164.9,164.9,164.9,128.0,2021-03-15 04:01:00,04:01:00
2,165.0,165.0,164.9,164.9,304.0,2021-03-15 04:02:00,04:02:00
3,165.27,165.27,165.27,165.27,189.0,2021-03-15 04:03:00,04:03:00
4,165.29,165.29,165.29,165.29,100.0,2021-03-15 04:04:00,04:04:00
5,165.28,165.28,165.28,165.28,141.0,2021-03-15 04:05:00,04:05:00
6,165.26,165.26,165.26,165.26,335.0,2021-03-15 04:06:00,04:06:00
7,165.19,165.19,165.19,165.19,100.0,2021-03-15 04:07:00,04:07:00
8,165.18,165.5,165.18,165.5,1507.0,2021-03-15 04:09:00,04:09:00
9,165.8,165.8,165.8,165.8,200.0,2021-03-15 04:10:00,04:10:00
10,165.77,165.77,165.63,165.63,490.0,2021-03-15 04:11:00,04:11:00
11,165.32,165.32,165.32,165.32,350.0,2021-03-15 04:12:00,04:12:00
12,165.6,165.6,165.6,165.6,200.0,2021-03-15 04:13:00,04:13:00
13,165.7,165.8,165.7,165.8,881.0,2021-03-15 04:14:00,04:14:00
14,165.8,165.8,165.72,165.72,709.0,2021-03-15 04:15:00,04:15:00
15,165.6,165.6,165.6,165.6,140.0,2021-03-15 04:16:00,04:16:00
16,165.6,165.6,165.6,165.6,300.0,2021-03-15 04:17:00,04:17:00
17,165.49,165.49,165.49,165.49,180.0,2021-03-15 04:21:00,04:21:00
18,165.38,165.38,165.38,165.38,558.0,2021-03-15 04:23:00,04:23:00
19,165.48,165.48,165.48,165.48,362.0,2021-03-15 04:24:00,04:24:00
20,165.35,165.35,165.35,165.35,100.0,2021-03-15 04:25:00,04:25:00
21,165.35,165.35,165.3,165.3,869.0,2021-03-15 04:26:00,04:26:00
22,165.35,165.35,165.35,165.35,105.0,2021-03-15 04:29:00,04:29:00
23,165.37,165.37,165.35,165.35,304.0,2021-03-15 04:30:00,04:30:00
24,165.47,165.5,165.47,165.5,623.0,2021-03-15 04:32:00,04:32:00
25,165.49,165.49,165.4,165.4,850.0,2021-03-15 04:33:00,04:33:00
26,165.3,165.3,164.8,164.8,6802.0,2021-03-15 04:34:00,04:34:00
27,164.73,164.73,164.73,164.73,100.0,2021-03-15 04:35:00,04:35:00
28,165.03,165.03,165.0,165.0,663.0,2021-03-15 04:39:00,04:39:00
29,165.0,165.0,165.0,165.0,139.0,2021-03-15 04:40:00,04:40:00
30,165.0,165.0,165.0,165.0,272.0,2021-03-15 04:41:00,04:41:00
31,164.94,164.94,164.94,164.94,200.0,2021-03-15 04:43:00,04:43:00
32,165.1,165.1,165.1,165.1,105.0,2021-03-15 04:44:00,04:44:00
33,165.2,165.2,165.2,165.2,100.0,2021-03-15 04:45:00,04:45:00
34,165.25,165.25,165.25,165.25,100.0,2021-03-15 04:46:00,04:46:00
35,165.2,165.2,165.2,165.2,400.0,2021-03-15 04:49:00,04:49:00
36,165.04,165.04,165.04,165.04,302.0,2021-03-15 04:50:00,04:50:00
37,165.02,165.02,165.0,165.0,800.0,2021-03-15 04:51:00,04:51:00
38,164.72,164.72,164.72,164.72,380.0,2021-03-15 04:52:00,04:52:00
39,164.72,164.72,164.72,164.72,416.0,2021-03-15 04:53:00,04:53:00
40,164.72,164.72,164.72,164.72,300.0,2021-03-15 04:54:00,04:54:00
41,164.72,164.72,164.72,164.72,324.0,2021-03-15 04:55:00,04:55:00
42,164.81,164.81,164.8,164.8,332.0,2021-03-15 04:57:00,04:57:00
43,164.55,164.55,164.5,164.5,746.0,2021-03-15 04:58:00,04:58:00
44,164.5,164.68,164.48,164.4994,641.0,2021-03-15 04:59:00,04:59:00
45,164.53,164.68,164.48,164.68,375.0,2021-03-15 05:00:00,05:00:00
46,164.41,164.41,164.3,164.3,325.0,2021-03-15 05:01:00,05:01:00
47,164.2,164.2499,164.01,164.09,1337.0,2021-03-15 05:02:00,05:02:00
48,164.09,164.09,164.09,164.09,493.0,2021-03-15 05:03:00,05:03:00
49,164.18,164.2,164.18,164.2,1299.0,2021-03-15 05:06:00,05:06:00
50,164.2,164.2,163.6,163.6,2837.0,2021-03-15 05:07:00,05:07:00
51,163.6,163.6,163.2,163.2,749.0,2021-03-15 05:08:00,05:08:00
52,163.01,163.05,163.0,163.02,646.0,2021-03-15 05:09:00,05:09:00
