Date,High,Low,Open,Close,Volume,Adj Close,,,high-open,close-open,high-low,,,ATR,15.38658949,Avg volume,50763535.04,cout,37
1/2/2019,63.02600098,59.75999832,61.22000122,62.02399826,58293000,62.02399826,3.266002655,17.88099258,0.028654837,0.013132914,3.26600266,FALSE,,,,,,,
1/3/2019,61.88000107,59.47600174,61.40000153,60.0719986,34826000,60.0719986,2.403999329,17.36587479,0.007756941,-0.021628712,2.40399933,FALSE,,,,,,,
1/4/2019,63.59999847,60.54600143,61.20000076,63.5379982,36970500,63.5379982,3.05399704,17.42563086,0.037735814,0.038202572,3.05399704,FALSE,,,,,,,
1/7/2019,67.34799957,63.54999924,64.34400177,66.99199677,37756000,66.99199677,3.798000336,17.44665496,0.044604113,0.041153719,3.79800033,FALSE,,,,,,,
1/8/2019,68.80200195,65.40399933,68.39199829,67.06999969,35042500,67.06999969,3.398002625,17.37207217,0.005959182,-0.019329726,3.39800262,FALSE,,,,,,,
1/9/2019,68.69999695,66.29399872,67.09999847,67.70600128,27164500,67.70600128,2.40599823,17.11742153,0.023289644,0.009031339,2.40599823,FALSE,,,,,,,
1/10/2019,69.07800293,66.35800171,66.87999725,68.9940033,30282000,68.9940033,2.720001221,17.22606403,0.031819184,0.031608943,2.72000122,FALSE,,,,,,,
1/11/2019,69.68199921,67.7539978,68.41799927,69.45200348,25195500,69.45200348,1.928001404,17.04217597,0.018139548,0.015113044,1.92800141,FALSE,,,,,,,
1/14/2019,68.5,66.80000305,68.47599792,66.87999725,26236500,66.87999725,1.699996948,17.08266213,0.000350395,-0.023307447,1.69999695,FALSE,,,,,,,
1/15/2019,69.76000214,66.90000153,67,68.88600159,30283000,68.88600159,2.86000061,17.22609706,0.03956425,0.028149277,2.86000061,FALSE,,,,,,,
1/16/2019,70.40000153,68.69999695,68.95600128,69.20999908,23458500,69.20999908,1.700004578,16.97074346,0.020511367,0.003683476,1.70000458,FALSE,,,,,,,
1/17/2019,70.30000305,68.83000183,69.24199677,69.46199799,18383500,69.46199799,1.470001221,16.72696408,0.015049875,0.00317728,1.47000122,FALSE,,,,,,,
1/18/2019,65.4260025,59.94599915,64.59999847,60.45199966,120754000,60.45199966,5.480003357,18.60926598,0.012625011,-0.064210509,5.48000335,FALSE,,,,,,,
1/22/2019,61.59999847,59.09999847,60.9640007,59.7840004,60333500,59.7840004,2.5,17.91539806,0.010324639,-0.01935569,2.5,FALSE,,,,,,,
1/23/2019,58.90000153,56.33800125,58.5,57.51800156,62650000,57.51800156,2.562000275,17.95307424,0.006791197,-0.016786298,2.56200028,FALSE,,,,,,,
1/24/2019,58.73600006,55.85599899,56.60599899,58.30199814,40061000,58.30199814,2.880001068,17.50591385,0.036263979,0.029961474,2.88000107,FALSE,,,,,,,
1/25/2019,59.70399857,57.90999985,58.87799835,59.40800095,36248000,59.40800095,1.793998718,17.40589477,0.013834923,0.009001709,1.79399872,FALSE,,,,,,,
1/28/2019,59.49200058,57.54999924,58.58200073,59.27600098,32116500,59.27600098,1.942001343,17.28488047,0.015296172,0.011846646,1.94200134,FALSE,,,,,,,
1/29/2019,59.7120018,58.36000061,59.05400085,59.49200058,23108500,59.49200058,1.35200119,16.95571107,0.011019576,0.007416936,1.35200119,FALSE,,,,,,,
1/30/2019,61.79999924,59.69800186,60.09000015,61.75400162,56251500,61.75400162,2.101997375,17.84534327,0.027669889,0.02769182,2.10199738,FALSE,,,,,,,
1/31/2019,62.31200027,58.79999924,60.20000076,61.40399933,62846000,61.40399933,3.512001038,17.95619785,0.033893945,0.019999976,3.51200103,FALSE,,,,,,,
2/1/2019,63.22000122,60.70000076,61.08399963,62.44200134,36417000,62.44200134,2.520000458,17.41054626,0.033786801,0.022231709,2.52000046,FALSE,,,,,,,
2/4/2019,63.06000137,60.37599945,62.59600067,62.57799911,36760500,62.57799911,2.684001923,17.41993446,0.007358083,-0.000287583,2.68400192,FALSE,,,,,,,
2/5/2019,64.48799896,62.45000076,62.4980011,64.26999664,33714000,64.26999664,2.037998199,17.33342374,0.030858422,0.028352835,2.0379982,FALSE,,,,,,,
2/6/2019,64.84799957,63.12400055,63.91799927,63.44400024,25192500,63.44400024,1.723999023,17.04205689,0.014341233,-0.007415736,1.72399902,FALSE,,,,,,,
2/7/2019,62.93999863,60.59999847,62.65999985,61.5019989,32603000,61.5019989,2.340000153,17.29991487,0.004448662,-0.018480705,2.34000016,FALSE,,,,,,,
2/8/2019,61.49000168,59.70000076,61.36600113,61.15999985,29221000,61.15999985,1.790000916,17.19039819,0.002016597,-0.003356929,1.79000092,FALSE,,,,,,,
2/11/2019,63.72000122,62.09999847,62.31999969,62.56800079,35648500,62.56800079,1.620002747,17.38921763,0.021971147,0.003979479,1.62000275,FALSE,,,,,,,
2/12/2019,63.63800049,61.92399979,63.24000168,62.36199951,27588000,62.36199951,1.714000702,17.13289145,0.006254106,-0.013883652,1.7140007,FALSE,,,,,,,
2/13/2019,62.54999924,61.11399841,62.47000122,61.63399887,25708000,61.63399887,1.436000824,17.06231279,0.001278945,-0.013382461,1.43600083,FALSE,,,,,,,
2/14/2019,61.35400009,60.20000076,60.67599869,60.75400162,26004000,60.75400162,1.153999329,17.07376093,0.011050647,0.001285565,1.15399933,FALSE,,,,,,,
2/15/2019,61.59999847,60.77999878,60.90000153,61.57600021,19524500,61.57600021,0.819999695,16.78718065,0.011363587,0.011100142,0.81999969,FALSE,,,,,,,
2/19/2019,62.30799866,61.09400177,61.31200027,61.12799835,20842000,61.12799835,1.213996887,16.85248074,0.015985081,-0.003001075,1.21399689,FALSE,,,,,,,
2/20/2019,61.25999832,59.79999924,60.88199997,60.51200104,35710500,60.51200104,1.459999084,17.39095532,0.006170394,-0.006077312,1.45999908,FALSE,,,,,,,
2/21/2019,60.64799881,58.09999847,60.36199951,58.24599838,44546000,58.24599838,2.548000336,17.61203292,0.004715725,-0.035055186,2.54800034,FALSE,,,,,,,
2/22/2019,59.29999924,58.41999817,58.89799881,58.94200134,28703000,58.94200134,0.880001068,17.1725122,0.006779097,0.000747097,0.88000107,FALSE,,,,,,,
2/25/2019,60.58000183,59.40000153,59.58200073,59.75400162,33132500,59.75400162,1.180000305,17.31602523,0.016474102,0.002886793,1.1800003,FALSE,,,,,,,
2/26/2019,60.40200043,57.75400162,58.44400024,59.5719986,42912500,59.5719986,2.64799881,17.57467372,0.032416148,0.019300499,2.64799881,FALSE,,,,,,,
2/27/2019,63.25999832,60.11000061,60.35599899,62.94800186,55919500,62.94800186,3.149997711,17.83942371,0.045905776,0.04294524,3.14999771,FALSE,,,,,,,
2/28/2019,64,62.16199875,63.7840004,63.97600174,52603500,63.97600174,1.838001251,17.77829322,0.003374994,0.00301018,1.83800125,FALSE,,,,,,,
3/1/2019,61.42599869,58.38000107,61.38800049,58.95800018,114557000,58.95800018,3.04599762,18.55658307,0.000618601,-0.039584288,3.04599762,FALSE,,,,,,,
3/4/2019,59.79999924,56.55599976,59.62400055,57.0719986,85484000,57.0719986,3.243999481,18.26383978,0.002943122,-0.042801589,3.24399948,FALSE,,,,,,,
3/5/2019,56.79999924,54.02000046,56.40000153,55.30799866,93823500,55.30799866,2.779998779,18.35692592,0.007042213,-0.019361752,2.77999878,FALSE,,,,,,,
3/6/2019,56.30199814,54.87799835,55.29600143,55.2480011,51677500,55.2480011,1.423999786,17.76053304,0.017867869,-0.000868062,1.42399979,FALSE,,,,,,,
3/7/2019,56.93999863,54.84999847,55.76800156,55.31800079,47212500,55.31800079,2.090000153,17.67016925,0.020583019,-0.008069157,2.09000016,FALSE,,,,,,,
3/8/2019,57.11800003,55.1780014,55.38199997,56.82799911,44098000,56.82799911,1.939998627,17.60192499,0.030393222,0.026109551,1.93999863,FALSE,,,,,,,
3/11/2019,58.25600052,56.09999847,56.70399857,58.18399811,36961500,58.18399811,2.156002045,17.42538739,0.026641066,0.026100444,2.15600205,FALSE,,,,,,,
3/12/2019,57.61399841,56.2120018,57.29800034,56.67200089,37520500,56.67200089,1.401996613,17.44039801,0.005484745,-0.010925328,1.40199661,FALSE,,,,,,,
3/13/2019,58.39799881,56.54000092,56.77999878,57.79199982,34223500,57.79199982,1.857997894,17.3484231,0.027706429,0.017823196,1.85799789,FALSE,,,,,,,
3/14/2019,59.07799911,57.65800095,58.49000168,57.99200058,35517000,57.99200058,1.419998169,17.38552201,0.0099529,-0.008514295,1.41999816,FALSE,,,,,,,
3/15/2019,56.74399948,54.88000107,56.70199966,55.08599854,73927500,55.08599854,1.863998413,18.11859544,0.000740163,-0.028499896,1.86399841,FALSE,,,,,,,
3/18/2019,55.61000061,53.45999908,55.20000076,53.89799881,51405000,53.89799881,2.150001526,17.755246,0.007372772,-0.023586992,2.15000153,FALSE,,,,,,,
3/19/2019,54.65999985,52.69200134,53.5,53.49399948,59003000,53.49399948,1.967998505,17.89309885,0.021222098,-0.000112159,1.96799851,FALSE,,,,,,,
3/20/2019,54.99399948,53.25999832,53.93799973,54.72000122,34541000,54.72000122,1.73400116,17.35765758,0.01920209,0.014498155,1.73400116,FALSE,,,,,,,
