,0
0,258.0
1,-188.0
2,606.0
3,1056.0
4,798.0
5,815.0
6,563.0
7,305.0
8,332.0
9,38.0
10,58.0
11,-14.0
12,424.0
13,271.0
14,56.0
15,-140.0
16,-301.0
17,-268.0
18,219.0
19,-32.0
20,-37.0
21,-70.0
22,5.0
23,72.0
24,-94.0
25,-62.0
26,153.0
27,-46.0
28,-108.0
29,0.0
30,232.0
