,SPY Gap Up,TICK open,XLF Gap Up,XLV Gap Up,QQQ gap up,XLE Gap Up,XLY Gap Up,SPY Close Percentage,XLF Close percentage,XLV Close percentage,QQQ Close percentage,XLE Close percentage,XLY Close percentage
33,0.766566168,1130,1.905550953,1.142399038,1.0070411,3.111000498,1.254089422,-1.760193526,-2.520325203,-0.178341425,-1.013212288,-4.489500362,-2.007846757
34,0.923958535,1497,1.518346689,0.690414249,0.66872011,1.503184713,1.074850066,-0.459344796,-1.038637308,-0.258372255,0.181166714,-1.380522088,-0.285119827
35,0.45325779,1275,1.062887511,0.789662599,-0.099908417,0.246507806,0.444444444,1.011910686,0.043821209,0.111925112,1.19176598,1.092896175,1.448109413
36,1.197990468,1749,2.223190933,0.882586275,0.990059483,2.057947468,1.503875969,-0.639638493,-2.046908316,-0.127789246,-0.308336957,-0.928628283,-1.092103253
37,1.325945617,1647,2.220287331,1.151574803,1.296641421,1.76754151,1.490232414,0.214938205,-0.298126065,-0.136226525,1.146950599,-1.447368421,0.867315886
38,0.799773293,1308,1.278772379,0.575911032,1.09860969,0.928531232,0.900157528,-1.652453691,-0.841750842,-0.009872643,-3.121369955,-1.449679398,-2.148539142
39,1.094318324,1452,2.407094595,0.735792429,0.503130161,2.541678054,1.406755435,-0.173691883,-0.412371134,0.557424315,-0.298073983,-0.373134328,0.022255193
40,0.656758757,1438,0.67114094,0.340039671,0.610990329,1.718403548,0.779526401,-0.441108899,1.291666667,-0.404782077,-1.64300883,4.250681199,-0.620256859
41,0.295793505,1063,-0.166597251,0.226907441,0.591877263,0.270929287,0.65911279,0.931329939,2.044221944,0.820677295,0.557426547,1.810321535,0.353148911
42,0.427195055,1208,0.666666667,0.546396609,0.166432428,1.970842333,0.391843843,0.193079313,0.703642384,-0.084324932,0.081231769,-0.900185332,0.823997109
43,0.381440534,1307,1.878497202,0.556341348,-0.447634198,1.956691886,0.570181613,-1.202315571,-0.706159278,-1.181545386,-1.452991453,-2.251791198,-0.762931336
44,0.793269231,1386,1.777953378,0.540899601,0.822052114,1.518324607,0.987445338,0.596231815,-2.01863354,1.132609722,1.679320791,-0.515729758,0.335242352
45,0.777659951,1281,0.575894694,0.477438682,1.131727392,0.610602276,0.684088111,0.233836081,1.799591002,-0.931705954,-0.501648776,2.124137931,0.828916972
46,0.318663336,1100,0.712589074,0.278396437,0.419171964,0.391061453,0.514877967,0.326236264,-0.314465409,-0.055524708,0.088958839,1.391207568,0.139701969
47,0.214250557,1075,1.792828685,0.347548375,-0.574092759,1.02915952,0.322407308,-1.028515298,-1.017612524,-1.057755312,-0.76287794,-1.329937748,-1.472951259
48,1.302481918,1433,0.933441558,0.750288573,2.070753843,1.130952381,0.936445638,0.663605392,0.080418175,1.012029788,0.849241489,-0.441436139,0.941401187
49,0.578034682,1065,0.162999185,0.470339797,0.730704267,0.214789813,0.678779568,-0.524090286,0.528885273,-0.076430687,-1.414354974,-0.122473974,-0.524380278
50,0.785912663,1186,0.199600798,0.51842775,1.359209187,0.669303316,0.629995936,-0.278494371,-1.553784861,-0.384471118,0.057368232,-1.390148081,0.188488724
51,1.365862562,1685,1.404853129,0.960978451,1.861467079,1.805831677,1.313229572,0.291098974,0.965575147,-0.057686761,0.211485277,0.537021969,0.7681229
52,0.664989216,1382,0.946502058,0.720046083,0.740038642,0.88706926,0.532811762,1.10099387,0.693028944,1.324945191,1.38235507,2.096719648,0.784918825
53,0.044148811,1128,0.850202429,0.282220132,-0.310536836,1.457436237,0.093190441,-1.465093701,-1.846647933,-1.60412758,-1.478749687,-2.905648057,-1.941876704
54,0.952437823,1512,0.940695297,0.705501001,0.970344527,0.571620713,1.213970838,0.780787886,0.729335494,1.173908927,0.752258575,0.835840856,1.0586974
55,0.613334898,1344,0.56315366,0.5801441,0.857387825,0.828912467,0.649781196,0.271255651,0.8,-0.09303191,-0.322329272,2.893784939,0.006587615
56,0.517772994,1210,0.555555556,0.558711239,0.59699371,0.894854586,0.520387326,0.373307096,-0.43409629,0.342624317,0.925500724,-2.470700032,0.517693316
57,0.391603559,1068,0.360144058,0.259451446,0.686284704,0.364359059,0.654236179,-1.904488742,-1.87400319,-1.839186691,-2.303005267,-2.475247525,-1.871953201
58,0.423964212,1300,0.650142219,0.357781753,0.267794221,0.575296108,0.582897264,-0.023292378,0.161485668,-0.225161835,-0.05271296,0.605652759,0.217319723
59,0.383041699,1204,0.635677394,0.502699683,0.214652685,0.523903078,0.408809178,-0.043361374,-0.31583103,-0.129677658,-0.017556796,-1.009771987,0.466246388
60,1.120842776,1466,1.676445935,1.475506591,0.872373599,1.357938719,1.307966706,0,0.206100577,0.319891431,-0.644021639,2.026794916,-0.58685446
61,1.056935191,1473,1.851090086,1.227171707,0.696347878,1.683501684,1.06257379,0.701249663,0.363489499,0.229095074,1.026263518,-2.218543046,1.126992853
62,1.659195436,1244,0.85504886,1.376983403,2.265518804,0.135272235,1.756603899,0.286336044,1.574485264,-1.160384996,0.334003613,-0.135089497,0.189629242
63,3.943911355,1321,8.092948718,3.639010189,0.916465836,11.99446941,3.4564022,-2.585377916,0.111193477,-2.607092697,-2.932965591,2.037037037,-3.657301949
