Tickers
AAPL
AAL
0
AMC
0
AMD
0
0
0
0
BAC
0
0
BBD
BP
0
C
0
CCL
CERN
0
0
EDU
F
0
INTC
0
0
ITUB
LCID
0
NCLH
0
NIO
0
NLY
0
NVDA
0
0
PFE
0
PLTR
PLUG
0
SOFI
0
0
SWN
T
