date,1. open,2. high,3. low,4. close,5. volume
2021-12-15 20:00:00,179.75,179.75,179.71,179.72,5430.0
2021-12-15 19:59:00,179.76,179.78,179.7,179.7499,4193.0
2021-12-15 19:58:00,179.8,179.8,179.76,179.76,5478.0
2021-12-15 19:57:00,179.85,179.86,179.75,179.8,5803.0
2021-12-15 19:56:00,179.84,179.84,179.8,179.84,4452.0
2021-12-15 19:55:00,179.88,179.92,179.85,179.85,9287.0
2021-12-15 19:54:00,179.92,179.92,179.87,179.88,2830.0
2021-12-15 19:53:00,180.0,180.0,179.92,179.92,4074.0
2021-12-15 19:52:00,179.98,180.05,179.98,180.0,8226.0
2021-12-15 19:51:00,179.92,179.96,179.92,179.96,6703.0
2021-12-15 19:50:00,179.94,179.94,179.89,179.9,4018.0
2021-12-15 19:48:00,179.94,179.94,179.94,179.94,1459.0
2021-12-15 19:47:00,179.92,179.9399,179.92,179.9399,1211.0
2021-12-15 19:46:00,179.94,179.94,179.94,179.94,201.0
2021-12-15 19:45:00,179.95,179.95,179.94,179.94,1447.0
2021-12-15 19:44:00,179.97,179.97,179.95,179.95,3172.0
2021-12-15 19:43:00,179.92,179.94,179.9,179.94,2368.0
2021-12-15 19:42:00,179.84,180.0,179.84,179.9,22579.0
2021-12-15 19:41:00,179.81,179.81,179.81,179.81,465.0
2021-12-15 19:40:00,179.8,179.82,179.75,179.79,1851.0
2021-12-15 19:39:00,179.82,179.82,179.82,179.82,495.0
2021-12-15 19:38:00,179.82,179.89,179.82,179.84,3297.0
2021-12-15 19:37:00,179.8,179.82,179.8,179.82,1075.0
2021-12-15 19:36:00,179.78,179.8,179.78,179.8,630.0
2021-12-15 19:35:00,179.81,179.81,179.79,179.79,2010.0
2021-12-15 19:34:00,179.8,179.82,179.8,179.8101,827.0
2021-12-15 19:33:00,179.8,179.8,179.8,179.8,405.0
2021-12-15 19:32:00,179.78,179.8,179.78,179.8,621.0
2021-12-15 19:31:00,179.74,179.76,179.74,179.76,1000.0
2021-12-15 19:30:00,179.74,179.74,179.74,179.74,1261.0
2021-12-15 19:29:00,179.75,179.75,179.75,179.75,715.0
2021-12-15 19:28:00,179.72,179.75,179.72,179.75,902.0
2021-12-15 19:27:00,179.76,179.76,179.72,179.76,4645.0
2021-12-15 19:26:00,179.7301,179.75,179.7301,179.75,1680.0
2021-12-15 19:25:00,179.73,179.76,179.73,179.75,893.0
2021-12-15 19:24:00,179.76,179.76,179.72,179.72,3395.0
2021-12-15 19:23:00,179.78,179.78,179.78,179.78,715.0
2021-12-15 19:22:00,179.78,179.8,179.78,179.8,1221.0
2021-12-15 19:21:00,179.82,179.82,179.79,179.79,1974.0
2021-12-15 19:20:00,179.81,179.84,179.78,179.78,3681.0
2021-12-15 19:19:00,179.82,179.83,179.81,179.81,947.0
2021-12-15 19:18:00,179.84,179.84,179.84,179.84,1223.0
2021-12-15 19:17:00,179.78,179.82,179.78,179.82,1075.0
2021-12-15 19:16:00,179.78,179.8,179.78,179.78,1361.0
2021-12-15 19:15:00,179.76,179.78,179.76,179.78,3315.0
2021-12-15 19:14:00,179.78,179.8,179.76,179.78,3454.0
2021-12-15 19:13:00,179.82,179.82,179.76,179.77,5874.0
2021-12-15 19:12:00,179.85,179.88,179.84,179.84,2203.0
2021-12-15 19:11:00,179.85,179.86,179.85,179.85,2402.0
2021-12-15 19:10:00,179.81,179.85,179.81,179.85,2737.0
