SQM,Basic Industries
SRCL,Basic Industries
SSRM,Basic Industries
STLD,Basic Industries
STRL,Basic Industries
SUM,Basic Industries
SUZ,Basic Industries
SVM,Basic Industries
SWM,Basic Industries
SXC,Basic Industries
SXT,Basic Industries
SYNL,Basic Industries
TANH,Basic Industries
TECK,Basic Industries
TGB,Basic Industries
THM,Basic Industries
TMQ,Basic Industries
TMST,Basic Industries
TOMZ,Basic Industries
TPC,Basic Industries
TREX,Basic Industries
TROX,Basic Industries
TRQ,Basic Industries
TRX,Basic Industries
TS,Basic Industries
TSE,Basic Industries
TWI,Basic Industries
TX,Basic Industries
UAN,Basic Industries
UEC,Basic Industries
UFPI,Basic Industries
UFS,Basic Industries
UL,Basic Industries
URG,Basic Industries
USAP,Basic Industries
USAS,Basic Industries
USLM,Basic Industries
UUUU,Basic Industries
VALE,Basic Industries
VEDL,Basic Industries
VGZ,Basic Industries
VHI,Basic Industries
VMC,Basic Industries
VNTR,Basic Industries
VRME,Basic Industries
VRMEW,Basic Industries
VRS,Basic Industries
VVV,Basic Industries
WDFC,Basic Industries
WLK,Basic Industries
WLKP,Basic Industries
WPM,Basic Industries
WRN,Basic Industries
WST,Basic Industries
WWR,Basic Industries
X,Basic Industries
XIN,Basic Industries
XPL,Basic Industries
YTEN,Basic Industries
ZEUS,Basic Industries
A,Capital Goods
AAON,Capital Goods
AAXN,Capital Goods
ACA,Capital Goods
ACU,Capital Goods
ADNT,Capital Goods
AEHL,Capital Goods
AEHR,Capital Goods
AEIS,Capital Goods
AGCO,Capital Goods
AIMC,Capital Goods
AIR,Capital Goods
AIRI,Capital Goods
AJRD,Capital Goods
ALG,Capital Goods
ALSN,Capital Goods
ALTG,Capital Goods
ALV,Capital Goods
AME,Capital Goods
AMOT,Capital Goods
AOUT,Capital Goods
AP,Capital Goods
APH,Capital Goods
APOG,Capital Goods
APTV,Capital Goods
ARTW,Capital Goods
ASTC,Capital Goods
ASTE,Capital Goods
ATRO,Capital Goods
AVAV,Capital Goods
AVTR,Capital Goods
AXDX,Capital Goods
AXL,Capital Goods
B,Capital Goods
BA,Capital Goods
BELFA,Capital Goods
BELFB,Capital Goods
BIMI,Capital Goods
BIO,Capital Goods
BLBD,Capital Goods
BLI,Capital Goods
BMI,Capital Goods
BNGO,Capital Goods
BNGOW,Capital Goods
BNSO,Capital Goods
BOOM,Capital Goods
BRKR,Capital Goods
BW,Capital Goods
BWA,Capital Goods
BWEN,Capital Goods
BXC,Capital Goods
BZH,Capital Goods
CAAS,Capital Goods
CAMT,Capital Goods
CARR,Capital Goods
CAT,Capital Goods
CCS,Capital Goods
CECE,Capital Goods
CETX,Capital Goods
CETXP,Capital Goods
CETXW,Capital Goods
CFX,Capital Goods
CFXA,Capital Goods
CGNX,Capital Goods
CIR,Capital Goods
CIX,Capital Goods
CLIR,Capital Goods
CMCO,Capital Goods
CNHI,Capital Goods
CNR,Capital Goods
CODA,Capital Goods
COHR,Capital Goods
COHU,Capital Goods
COMSW,Capital Goods
CPAC,Capital Goods
CPS,Capital Goods
CPSH,Capital Goods
CR,Capital Goods
CRH,Capital Goods
CSTE,Capital Goods
CUB,Capital Goods
CVGI,Capital Goods
CVU,Capital Goods
CX,Capital Goods
