,open,high,low,close,volume,datetime
0,77.9625,78.875,77.3875,77.835,121923528.0,1579068000000.0
1,78.3975,78.925,78.0225,78.81,108829016.0,1579154400000.0
2,79.0675,79.685,78.75,79.6825,137816468.0,1579240800000.0
3,79.2975,79.755,79.0,79.1425,110843256.0,1579586400000.0
4,79.645,79.9975,79.3275,79.425,101832460.0,1579672800000.0
5,79.48,79.89,78.9125,79.8075,104471972.0,1579759200000.0
6,80.0625,80.8325,79.3797,79.5775,146537520.0,1579845600000.0
7,77.515,77.9425,76.22,77.2375,161940020.0,1580104800000.0
8,78.15,79.6,78.0475,79.4225,162233944.0,1580191200000.0
9,81.1125,81.9625,80.345,81.085,216599712.0,1580277600000.0
10,80.135875,81.0225,79.6875,80.9675,126743232.0,1580364000000.0
11,80.2325,80.67,77.0725,77.3775,199588384.0,1580450400000.0
12,76.075,78.3725,75.555,77.165,173985604.0,1580709600000.0
13,78.8275,79.91,78.408625,79.7125,136616536.0,1580796000000.0
14,80.88,81.19,79.7375,80.3625,118826872.0,1580882400000.0
15,80.6425,81.305,80.0662,81.3025,105425540.0,1580968800000.0
16,80.5925,80.85,79.5,80.0075,117684048.0,1581055200000.0
17,78.545,80.3875,78.4625,80.3875,109348860.0,1581314400000.0
18,80.9,80.975,79.6775,79.9025,94323120.0,1581400800000.0
19,80.3675,81.805,80.3675,81.8,113730292.0,1581487200000.0
20,81.0475,81.555,80.8375,81.2175,94747568.0,1581573600000.0
21,81.185,81.495,80.7125,81.2375,80113788.0,1581660000000.0
22,78.84,79.9375,78.6525,79.75,152762180.0,1582005600000.0
23,80.0,81.1425,80.0,80.905,93983964.0,1582092000000.0
24,80.6575,81.1625,79.5525,80.075,100565956.0,1582178400000.0
25,79.655,80.1125,77.625,78.2625,129705660.0,1582264800000.0
26,74.315,76.045,72.3075,74.545,222195312.0,1582524000000.0
27,75.2375,75.6325,71.5325,72.02,230673456.0,1582610400000.0
28,71.6325,74.47,71.625,73.1625,198713724.0,1582696800000.0
29,70.275,71.5,68.24,68.38,320605524.0,1582783200000.0
30,64.315,69.6025,64.0925,68.34,426884920.0,1582869600000.0
31,70.57,75.36,69.43,74.7025,341397356.0,1583128800000.0
32,75.9175,76.0,71.45,72.33,319475408.0,1583215200000.0
33,74.11,75.85,73.2825,75.685,219178272.0,1583301600000.0
34,73.88,74.8875,72.8525,73.23,187572876.0,1583388000000.0
35,70.5,72.705,70.3075,72.2575,226176984.0,1583474400000.0
36,65.9375,69.5225,65.75,66.5425,286744832.0,1583730000000.0
37,69.285,71.61,67.3425,71.335,285290080.0,1583816400000.0
38,69.3475,70.305,67.965,68.8575,256379880.0,1583902800000.0
39,63.985,67.5,62.0,62.0575,418474068.0,1583989200000.0
40,66.2225,69.98,63.2375,69.4925,370732128.0,1584075600000.0
41,60.4875,64.77,60.0,60.5525,322423460.0,1584334800000.0
42,61.8775,64.4025,59.6,63.215,324055860.0,1584421200000.0
43,59.9425,62.5,59.28,61.6675,300233624.0,1584507600000.0
44,61.84625,63.21,60.6525,61.195,271857020.0,1584594000000.0
45,61.795,62.9575,57.0,57.31,401693384.0,1584680400000.0
46,57.02,57.124925,53.1525,56.0925,336752832.0,1584939600000.0
47,59.09,61.9225,58.575,61.72,287531092.0,1585026000000.0
48,62.6875,64.5625,61.075,61.38,303602040.0,1585112400000.0
49,61.63,64.67,61.59,64.61,252560676.0,1585198800000.0
50,63.1875,63.9675,61.7625,61.935,204216612.0,1585285200000.0
51,62.685,63.88,62.35,63.7025,167976440.0,1585544400000.0
52,63.9,65.6225,63.0,63.5725,197002004.0,1585630800000.0
53,61.625,62.18,59.7825,60.2275,176218552.0,1585717200000.0
54,60.085,61.2875,59.225,61.2325,165933972.0,1585803600000.0
55,60.7,61.425,59.743525,60.3525,129880068.0,1585890000000.0
56,62.725,65.7775,62.345,65.6175,201820284.0,1586149200000.0
57,67.7,67.925,64.75,64.8575,202887324.0,1586235600000.0
58,65.685,66.8425,65.3075,66.5175,168895284.0,1586322000000.0
59,67.175,67.5175,66.175,66.9975,162116492.0,1586408400000.0
60,67.0775,68.425,66.4575,68.3125,131022924.0,1586754000000.0
61,70.0,72.0625,69.5125,71.7625,194994688.0,1586840400000.0
62,70.6,71.5825,70.1575,71.1075,131154564.0,1586926800000.0
63,71.845,72.049375,70.58755,71.6725,157125160.0,1587013200000.0
64,71.1725,71.73625,69.215,70.7,215249912.0,1587099600000.0
65,69.4875,70.42,69.2125,69.2325,130015000.0,1587358800000.0
66,69.07,69.3125,66.3575,67.0925,180991572.0,1587445200000.0
67,68.4025,69.475,68.05,69.025,117057368.0,1587531600000.0
68,68.9675,70.4375,68.7175,68.7575,124814328.0,1587618000000.0
69,69.3,70.7525,69.25,70.7425,126508732.0,1587704400000.0
70,70.45,71.135,69.9875,70.7925,117087572.0,1587963600000.0
71,71.27,71.4575,69.55,69.645,112004748.0,1588050000000.0
72,71.1825,72.4175,70.9725,71.9325,137280816.0,1588136400000.0
73,72.49,73.6325,72.0875,73.45,183063872.0,1588222800000.0
74,71.5625,74.75,71.4625,72.2675,240616700.0,1588309200000.0
75,72.2925,73.4225,71.5793,73.29,133567944.0,1588568400000.0
76,73.765,75.25,73.615,74.39,147751180.0,1588654800000.0
77,75.115,75.81,74.7175,75.1575,142333752.0,1588741200000.0
78,75.805,76.2925,75.4925,75.935,115215056.0,1588827600000.0
79,76.41,77.5875,76.0725,77.5325,134047940.0,1588914000000.0
80,77.025,79.2625,76.81,78.7525,145946244.0,1589173200000.0
81,79.4575,79.922,77.7275,77.8525,162301052.0,1589259600000.0
82,78.0375,78.9875,75.8025,76.9125,200622556.0,1589346000000.0
83,76.1275,77.4475,75.3825,77.385,158929076.0,1589432400000.0
84,75.0875,76.975,75.0525,76.9275,166348376.0,1589518800000.0
85,78.2925,79.125,77.581025,78.74,135372500.0,1589778000000.0
86,78.7575,79.63,78.2525,78.285,101729540.0,1589864400000.0
87,79.17,79.88,79.05,79.8075,111504860.0,1589950800000.0
88,79.665,80.2225,78.9675,79.2125,102688844.0,1590037200000.0
89,78.9425,79.8075,78.8375,79.7225,81803016.0,1590123600000.0
90,80.875,81.06,79.125,79.1825,125521816.0,1590469200000.0
91,79.035,79.6775,78.2725,79.5275,112945096.0,1590555600000.0
92,79.1925,80.86,78.9075,79.5625,133796412.0,1590642000000.0
93,79.8125,80.2875,79.1175,79.485,153598128.0,1590728400000.0
94,79.4375,80.5875,79.3025,80.4625,81018612.0,1590987600000.0
95,80.18625,80.86,79.7325,80.835,87642816.0,1591074000000.0
96,81.165,81.55,80.575,81.28,104491216.0,1591160400000.0
97,81.0975,81.405,80.195,80.58,87560364.0,1591246800000.0
98,80.8375,82.9375,80.8075,82.875,137250200.0,1591333200000.0
99,82.5625,83.4,81.83,83.365,95654536.0,1591592400000.0
100,83.035,86.4025,83.0025,85.9975,147712364.0,1591678800000.0
101,86.975,88.6925,86.5225,88.21,166651752.0,1591765200000.0
102,87.3275,87.765,83.87,83.975,201662452.0,1591851600000.0
103,86.18,86.95,83.555825,84.7,200146052.0,1591938000000.0
104,83.3125,86.42,83.145,85.7475,138808920.0,1592197200000.0
105,87.865,88.3,86.18,88.02,165428728.0,1592283600000.0
106,88.7875,88.85,87.7725,87.8975,114406504.0,1592370000000.0
107,87.8525,88.3625,87.305,87.9325,96820384.0,1592456400000.0
108,88.65875,89.14,86.2875,87.43,264475808.0,1592542800000.0
109,87.835,89.865,87.7875,89.7175,135445264.0,1592802000000.0
110,91.0,93.095,90.567525,91.6325,212155476.0,1592888400000.0
111,91.25,92.1975,89.63,90.015,192623396.0,1592974800000.0
112,90.175,91.25,89.3925,91.21,137522512.0,1593061200000.0
113,91.1025,91.33,88.255,88.4075,205256844.0,1593147600000.0
114,88.3125,90.5434,87.82,90.445,130646076.0,1593406800000.0
115,90.02,91.495,90.0,91.2,140223284.0,1593493200000.0
116,91.28,91.84,90.9775,91.0275,110737236.0,1593579600000.0
117,91.9625,92.6175,90.91,91.0275,114041468.0,1593666000000.0
118,92.5,93.945,92.4675,93.4625,118655652.0,1594011600000.0
119,93.8525,94.655,93.0575,93.1725,112424456.0,1594098000000.0
120,94.18,95.375,94.09,95.3425,117091880.0,1594184400000.0
121,96.2625,96.3175,94.6725,95.6825,125642608.0,1594270800000.0
122,95.335,95.98,94.705175,95.92,90257320.0,1594357200000.0
123,97.265,99.955,95.2575,95.4775,191649140.0,1594616400000.0
124,94.84,97.255,93.8775,97.0575,170989364.0,1594702800000.0
125,98.99,99.2475,96.49,97.725,153197932.0,1594789200000.0
126,96.5625,97.405,95.905,96.5225,110577672.0,1594875600000.0
127,96.9875,97.1475,95.84,96.3275,92186900.0,1594962000000.0
128,96.41625,98.5,96.0625,98.3575,90317908.0,1595221200000.0
